Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
222	 	-5	 	3	 	-1.571	 	0	 	2	 	 	-3.273
223	 	-5	 	3	 	-1.571	 	1	 	2	 	 	-3.27
224	 	-5	 	3	 	-1.571	 	2	 	2	 	 	28.85
225	 	-5	 	3	 	-0.7854	 	0	 	2	 	 	-2.685
226	 	-5	 	3	 	-0.7854	 	1	 	2	 	 	-2.75
227	 	-5	 	3	 	-0.7854	 	2	 	2	 	 	32.41
228	 	-5	 	3	 	0	 	0	 	0	 	 	35.48
229	 	-5	 	3	 	0	 	1	 	0	 	 	-2.394
230	 	-5	 	3	 	0	 	2	 	0	 	 	-2.47
231	 	-5	 	3	 	0.7854	 	0	 	1	 	 	-2.863
232	 	-5	 	3	 	0.7854	 	1	 	1	 	 	32.19
233	 	-5	 	3	 	0.7854	 	2	 	1	 	 	-2.983
234	 	-5	 	3	 	1.571	 	0	 	1	 	 	-3.674
235	 	-5	 	3	 	1.571	 	1	 	1	 	 	27.95
236	 	-5	 	3	 	1.571	 	2	 	1	 	 	-3.577
237	 	-5	 	3	 	2.356	 	0	 	1	 	 	-6.505
238	 	-5	 	3	 	2.356	 	1	 	1	 	 	22.54
239	 	-5	 	3	 	2.356	 	2	 	1	 	 	-4.321
240	 	-5	 	3	 	3.142	 	0	 	1	 	 	-6.31
241	 	-5	 	3	 	3.142	 	1	 	1	 	 	15.69
242	 	-5	 	3	 	3.142	 	2	 	1	 	 	-8.09
243	 	-5	 	4	 	-3.142	 	0	 	2	 	 	-6.708
244	 	-5	 	4	 	-3.142	 	1	 	2	 	 	-4.669
245	 	-5	 	4	 	-3.142	 	2	 	2	 	 	11.97
246	 	-5	 	4	 	-2.356	 	0	 	2	 	 	-4.228
247	 	-5	 	4	 	-2.356	 	1	 	2	 	 	-4.099
248	 	-5	 	4	 	-2.356	 	2	 	2	 	 	23
249	 	-5	 	4	 	-1.571	 	0	 	2	 	 	-3.316
250	 	-5	 	4	 	-1.571	 	1	 	2	 	 	-3.357
251	 	-5	 	4	 	-1.571	 	2	 	2	 	 	28.23
252	 	-5	 	4	 	-0.7854	 	0	 	0	 	 	32.23
253	 	-5	 	4	 	-0.7854	 	1	 	0	 	 	-2.745
254	 	-5	 	4	 	-0.7854	 	2	 	0	 	 	-2.611
255	 	-5	 	4	 	0	 	0	 	0	 	 	33.46
256	 	-5	 	4	 	0	 	1	 	0	 	 	-2.538
