Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
178	 	-1.5	 	1.5	 	0.7854	 	1	 	1	 	 	50.11
179	 	-1.5	 	1.5	 	0.7854	 	2	 	1	 	 	-2.291
180	 	-1.5	 	1.5	 	1.571	 	0	 	1	 	 	-4.252
181	 	-1.5	 	1.5	 	1.571	 	1	 	1	 	 	44.81
182	 	-1.5	 	1.5	 	1.571	 	2	 	1	 	 	-3.043
183	 	-1.5	 	1.5	 	2.356	 	0	 	1	 	 	-5.65
184	 	-1.5	 	1.5	 	2.356	 	1	 	1	 	 	39.21
185	 	-1.5	 	1.5	 	2.356	 	2	 	1	 	 	-3.537
186	 	-1.5	 	1.5	 	3.142	 	0	 	1	 	 	-4.795
187	 	-1.5	 	1.5	 	3.142	 	1	 	1	 	 	29.21
188	 	-1.5	 	1.5	 	3.142	 	2	 	1	 	 	-6.464
189	 	-1	 	-1.5	 	-3.142	 	0	 	2	 	 	-5.244
190	 	-1	 	-1.5	 	-3.142	 	1	 	2	 	 	-5.985
191	 	-1	 	-1.5	 	-3.142	 	2	 	2	 	 	22.75
192	 	-1	 	-1.5	 	-2.356	 	0	 	2	 	 	-4.901
193	 	-1	 	-1.5	 	-2.356	 	1	 	2	 	 	-4.706
194	 	-1	 	-1.5	 	-2.356	 	2	 	2	 	 	29.5
195	 	-1	 	-1.5	 	-1.571	 	0	 	2	 	 	-5.306
196	 	-1	 	-1.5	 	-1.571	 	1	 	2	 	 	-3.941
197	 	-1	 	-1.5	 	-1.571	 	2	 	2	 	 	34.1
198	 	-1	 	-1.5	 	-0.7854	 	0	 	2	 	 	-3.752
199	 	-1	 	-1.5	 	-0.7854	 	1	 	2	 	 	-3.262
200	 	-1	 	-1.5	 	-0.7854	 	2	 	2	 	 	38.53
201	 	-1	 	-1.5	 	0	 	0	 	2	 	 	-2.415
202	 	-1	 	-1.5	 	0	 	1	 	2	 	 	-2.545
203	 	-1	 	-1.5	 	0	 	2	 	2	 	 	43.28
204	 	-1	 	-1.5	 	0.7854	 	0	 	0	 	 	47.94
205	 	-1	 	-1.5	 	0.7854	 	1	 	0	 	 	-1.621
206	 	-1	 	-1.5	 	0.7854	 	2	 	0	 	 	-1.62
207	 	-1	 	-1.5	 	1.571	 	0	 	0	 	 	-0.9999
208	 	-1	 	-1.5	 	1.571	 	1	 	0	 	 	-1.079
209	 	-1	 	-1.5	 	1.571	 	2	 	0	 	 	-1.153
210	 	-1	 	-1.5	 	2.356	 	0	 	0	 	 	41.38
211	 	-1	 	-1.5	 	2.356	 	1	 	0	 	 	-1.687
212	 	-1	 	-1.5	 	2.356	 	2	 	0	 	 	-1.72
213	 	-1	 	-1.5	 	3.142	 	0	 	1	 	 	-2.242
214	 	-1	 	-1.5	 	3.142	 	1	 	1	 	 	36.12
215	 	-1	 	-1.5	 	3.142	 	2	 	1	 	 	-2.997
216	 	-1	 	-1	 	-3.142	 	0	 	0	 	 	0
217	 	-1	 	-1	 	-3.142	 	1	 	0	 	 	0
218	 	-1	 	-1	 	-3.142	 	2	 	0	 	 	0
219	 	-1	 	-1	 	-2.356	 	0	 	0	 	 	0
220	 	-1	 	-1	 	-2.356	 	1	 	0	 	 	0
221	 	-1	 	-1	 	-2.356	 	2	 	0	 	 	0
222	 	-1	 	-1	 	-1.571	 	0	 	0	 	 	0
223	 	-1	 	-1	 	-1.571	 	1	 	0	 	 	0
224	 	-1	 	-1	 	-1.571	 	2	 	0	 	 	0
225	 	-1	 	-1	 	-0.7854	 	0	 	0	 	 	0
226	 	-1	 	-1	 	-0.7854	 	1	 	0	 	 	0
227	 	-1	 	-1	 	-0.7854	 	2	 	0	 	 	0
228	 	-1	 	-1	 	0	 	0	 	0	 	 	0
229	 	-1	 	-1	 	0	 	1	 	0	 	 	0
230	 	-1	 	-1	 	0	 	2	 	0	 	 	0
231	 	-1	 	-1	 	0.7854	 	0	 	0	 	 	0
232	 	-1	 	-1	 	0.7854	 	1	 	0	 	 	0
233	 	-1	 	-1	 	0.7854	 	2	 	0	 	 	0
234	 	-1	 	-1	 	1.571	 	0	 	0	 	 	0
235	 	-1	 	-1	 	1.571	 	1	 	0	 	 	0
236	 	-1	 	-1	 	1.571	 	2	 	0	 	 	0
237	 	-1	 	-1	 	2.356	 	0	 	0	 	 	0
238	 	-1	 	-1	 	2.356	 	1	 	0	 	 	0
239	 	-1	 	-1	 	2.356	 	2	 	0	 	 	0
240	 	-1	 	-1	 	3.142	 	0	 	0	 	 	0
241	 	-1	 	-1	 	3.142	 	1	 	0	 	 	0
242	 	-1	 	-1	 	3.142	 	2	 	0	 	 	0
243	 	-1	 	-0.5	 	-3.142	 	0	 	2	 	 	-3.042
244	 	-1	 	-0.5	 	-3.142	 	1	 	2	 	 	-2.997
245	 	-1	 	-0.5	 	-3.142	 	2	 	2	 	 	-2.96
246	 	-1	 	-0.5	 	-2.356	 	0	 	2	 	 	-2.053
247	 	-1	 	-0.5	 	-2.356	 	1	 	2	 	 	-2.079
248	 	-1	 	-0.5	 	-2.356	 	2	 	2	 	 	-1.99
249	 	-1	 	-0.5	 	-1.571	 	0	 	0	 	 	-1
250	 	-1	 	-0.5	 	-1.571	 	1	 	0	 	 	-1.021
251	 	-1	 	-0.5	 	-1.571	 	2	 	0	 	 	-1.053
