Gamma     = 0.99 , alpha    = 0.1 , episodes            = 30000
n actions = 3    , n states = 504 , n state action pair = 1512

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
309	 	-6	 	2.5	 	0	 	0	 	1	 	 	-1.259
310	 	-6	 	2.5	 	0	 	1	 	1	 	 	48.64
311	 	-6	 	2.5	 	0	 	2	 	1	 	 	-1.315
312	 	-6	 	2.5	 	0.7854	 	0	 	1	 	 	-2.008
313	 	-6	 	2.5	 	0.7854	 	1	 	1	 	 	40.78
314	 	-6	 	2.5	 	0.7854	 	2	 	1	 	 	-1.96
315	 	-6	 	2.5	 	1.571	 	0	 	1	 	 	-2.601
316	 	-6	 	2.5	 	1.571	 	1	 	1	 	 	31.29
317	 	-6	 	2.5	 	1.571	 	2	 	1	 	 	-2.508
318	 	-6	 	2.5	 	2.356	 	0	 	0	 	 	30.49
319	 	-6	 	2.5	 	2.356	 	1	 	0	 	 	-2.751
320	 	-6	 	2.5	 	2.356	 	2	 	0	 	 	-2.797
321	 	-6	 	2.5	 	3.142	 	0	 	0	 	 	37.89
322	 	-6	 	2.5	 	3.142	 	1	 	0	 	 	-2.962
323	 	-6	 	2.5	 	3.142	 	2	 	0	 	 	-2.997
324	 	-6	 	3	 	-3.142	 	0	 	2	 	 	-1.418
325	 	-6	 	3	 	-3.142	 	1	 	2	 	 	-1.999
326	 	-6	 	3	 	-3.142	 	2	 	2	 	 	42.92
327	 	-6	 	3	 	-2.356	 	0	 	0	 	 	57.65
328	 	-6	 	3	 	-2.356	 	1	 	0	 	 	-1.124
329	 	-6	 	3	 	-2.356	 	2	 	0	 	 	-1.124
330	 	-6	 	3	 	-1.571	 	0	 	1	 	 	-1.228
331	 	-6	 	3	 	-1.571	 	1	 	1	 	 	54.48
332	 	-6	 	3	 	-1.571	 	2	 	1	 	 	-1.309
333	 	-6	 	3	 	-0.7854	 	0	 	1	 	 	-1.496
334	 	-6	 	3	 	-0.7854	 	1	 	1	 	 	50.13
335	 	-6	 	3	 	-0.7854	 	2	 	1	 	 	-1.586
336	 	-6	 	3	 	0	 	0	 	1	 	 	-1.976
337	 	-6	 	3	 	0	 	1	 	1	 	 	44.79
338	 	-6	 	3	 	0	 	2	 	1	 	 	-2.016
339	 	-6	 	3	 	0.7854	 	0	 	1	 	 	-2.746
340	 	-6	 	3	 	0.7854	 	1	 	1	 	 	38.3
341	 	-6	 	3	 	0.7854	 	2	 	1	 	 	-2.676
342	 	-6	 	3	 	1.571	 	0	 	1	 	 	-3.449
343	 	-6	 	3	 	1.571	 	1	 	1	 	 	32.27
344	 	-6	 	3	 	1.571	 	2	 	1	 	 	-3.311
345	 	-6	 	3	 	2.356	 	0	 	1	 	 	-3.908
346	 	-6	 	3	 	2.356	 	1	 	1	 	 	21.54
347	 	-6	 	3	 	2.356	 	2	 	1	 	 	-4.02
